Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.875000,5.875000,5.875000,5.875000,1.666141,35389440000
2000-01-04,5.550000,5.550000,5.550000,5.550000,1.573971,28861440000
2000-01-05,5.494000,5.494000,5.494000,5.494000,1.558090,43033600000
2000-01-06,5.475000,5.475000,5.475000,5.475000,1.552702,34055680000
2000-01-07,5.500000,5.500000,5.500000,5.500000,1.559791,20912640000
2000-01-10,5.613000,5.613000,5.613000,5.613000,1.591838,19563520000
2000-01-11,5.475000,5.475000,5.475000,5.475000,1.552702,23987200000
2000-01-12,5.483000,5.483000,5.483000,5.483000,1.554970,23301120000
2000-01-13,5.325000,5.325000,5.325000,5.325000,1.510161,26383360000
2000-01-14,5.400000,5.400000,5.400000,5.400000,1.531432,16657920000
2000-01-17,5.338000,5.338000,5.338000,5.338000,1.513848,16573440000
2000-01-18,5.363000,5.363000,5.363000,5.363000,1.520938,17925120000
2000-01-19,5.325000,5.325000,5.325000,5.325000,1.510161,38883840000
2000-01-20,5.313000,5.313000,5.313000,5.313000,1.506758,26268160000
2000-01-21,5.200000,5.200000,5.200000,5.200000,1.474712,17512960000
2000-01-24,5.163000,5.163000,5.163000,5.163000,1.464219,18385920000
2000-01-25,5.163000,5.163000,5.163000,5.163000,1.464219,0
2000-01-26,5.225000,5.225000,5.225000,5.225000,1.481802,25917440000
2000-01-27,5.188000,5.188000,5.188000,5.188000,1.471309,38379520000
2000-01-28,5.188000,5.188000,5.188000,5.188000,1.471309,17894400000
2000-01-31,5.101000,5.101000,5.101000,5.101000,1.446635,32266240000
2000-02-01,5.200000,5.200000,5.200000,5.200000,1.474712,23672320000
2000-02-02,5.300000,5.300000,5.300000,5.300000,1.503072,14272000000
2000-02-03,5.450000,5.450000,5.450000,5.450000,1.545611,25950720000
2000-02-04,5.588000,5.588000,5.588000,5.588000,1.584748,21199360000
2000-02-07,5.625000,5.625000,5.625000,5.625000,1.595241,20613120000
2000-02-08,5.750000,5.750000,5.750000,5.750000,1.630691,31498240000
2000-02-09,5.625000,5.625000,5.625000,5.625000,1.595241,15600640000
2000-02-10,5.463000,5.463000,5.463000,5.463000,1.549298,18600960000
2000-02-11,5.288000,5.288000,5.288000,5.288000,1.499669,25297920000
2000-02-14,5.213000,5.213000,5.213000,5.213000,1.478399,10119680000
2000-02-15,5.313000,5.313000,5.313000,5.313000,1.506758,33546240000
2000-02-16,5.738000,5.738000,5.738000,5.738000,1.627288,73564160000
2000-02-17,5.688000,5.688000,5.688000,5.688000,1.613108,21411840000
2000-02-18,5.563000,5.563000,5.563000,5.563000,1.577658,22484480000
2000-02-21,5.550000,5.550000,5.550000,5.550000,1.573971,18700800000
2000-02-22,5.525000,5.525000,5.525000,5.525000,1.566881,22474240000
2000-02-23,5.563000,5.563000,5.563000,5.563000,1.577658,20334080000
2000-02-24,5.713000,5.713000,5.713000,5.713000,1.620198,32931840000
2000-02-25,5.863000,5.863000,5.863000,5.863000,1.662737,36958720000
2000-02-28,5.750000,5.750000,5.750000,5.750000,1.630691,11596800000
2000-02-29,5.775000,5.775000,5.775000,5.775000,1.637780,24322560000
2000-03-01,5.875000,5.875000,5.875000,5.875000,1.666141,23828480000
2000-03-02,5.838000,5.838000,5.838000,5.838000,1.655648,24053760000
2000-03-03,6.038000,6.038000,6.038000,6.038000,1.712367,13217280000
2000-03-06,6.038000,6.038000,6.038000,6.038000,1.712367,0
2000-03-07,6.038000,6.038000,6.038000,6.038000,1.712367,0
2000-03-08,6.181000,6.181000,6.181000,6.181000,1.752922,8337920000
2000-03-09,6.399000,6.399000,6.399000,6.399000,1.814746,21578240000
2000-03-10,6.213000,6.213000,6.213000,6.213000,1.761997,14763520000
2000-03-13,6.213000,6.213000,6.213000,6.213000,1.761997,0
2000-03-14,5.813000,5.813000,5.813000,5.813000,1.648558,28421120000
2000-03-15,5.888000,5.888000,5.888000,5.888000,1.669828,25216000000
2000-03-16,5.925000,5.925000,5.925000,5.925000,1.680321,23298560000
2000-03-17,5.863000,5.863000,5.863000,5.863000,1.662737,18447360000
2000-03-20,5.688000,5.688000,5.688000,5.688000,1.613108,16012800000
2000-03-21,5.800000,5.800000,5.800000,5.800000,1.644871,25492480000
2000-03-22,5.814000,5.814000,5.814000,5.814000,1.648840,25113600000
2000-03-23,5.813000,5.813000,5.813000,5.813000,1.648558,26447360000
2000-03-24,5.813000,5.813000,5.813000,5.813000,1.648558,15249920000
2000-03-27,6.250000,6.250000,6.250000,6.250000,1.772491,22727680000
2000-03-28,5.988000,5.988000,5.988000,5.988000,1.698187,16906240000
2000-03-29,5.963000,5.963000,5.963000,5.963000,1.691098,21788160000
2000-03-30,5.825000,5.825000,5.825000,5.825000,1.651961,16432640000
2000-03-31,5.900000,5.900000,5.900000,5.900000,1.673230,20659200000
2000-04-03,5.850000,5.850000,5.850000,5.850000,1.659051,18083840000
2000-04-04,5.819000,5.819000,5.819000,5.819000,1.650259,33208320000
2000-04-05,6.063000,6.063000,6.063000,6.063000,1.719458,40258560000
2000-04-06,6.150000,6.150000,6.150000,6.150000,1.744130,24975360000
2000-04-07,6.188000,6.188000,6.188000,6.188000,1.754907,19161600000
2000-04-10,6.050000,6.050000,6.050000,6.050000,1.715770,13194240000
2000-04-11,5.900000,5.900000,5.900000,5.900000,1.673230,21875200000
2000-04-12,6.037000,6.037000,6.037000,6.037000,1.712084,45626880000
2000-04-13,5.900000,5.900000,5.900000,5.900000,1.673230,40263680000
2000-04-14,5.900000,5.900000,5.900000,5.900000,1.673230,0
2000-04-17,5.250000,5.250000,5.250000,5.250000,1.488892,66396160000
2000-04-18,5.413000,5.413000,5.413000,5.413000,1.535118,50900480000
2000-04-19,5.088000,5.088000,5.088000,5.088000,1.442948,38799360000
2000-04-20,5.100000,5.100000,5.100000,5.100000,1.446352,17896960000
2000-04-21,5.100000,5.100000,5.100000,5.100000,1.446352,0
2000-04-24,5.000000,5.000000,5.000000,5.000000,1.417992,20638720000
2000-04-25,5.450000,5.450000,5.450000,5.450000,1.545611,38284800000
2000-04-26,5.369000,5.369000,5.369000,5.369000,1.522640,22627840000
2000-04-27,5.375000,5.375000,5.375000,5.375000,1.524341,43991040000
2000-04-28,5.376000,5.376000,5.376000,5.376000,1.524625,25940480000
2000-05-01,5.376000,5.376000,5.376000,5.376000,1.524625,0
2000-05-02,5.506000,5.506000,5.506000,5.506000,1.561493,19975680000
2000-05-03,5.488000,5.488000,5.488000,5.488000,1.556388,20416000000
2000-05-04,5.475000,5.475000,5.475000,5.475000,1.552702,21488640000
2000-05-05,5.488000,5.488000,5.488000,5.488000,1.556388,17635840000
2000-05-08,5.494000,5.494000,5.494000,5.494000,1.558090,17551360000
2000-05-09,5.499000,5.499000,5.499000,5.499000,1.559508,26621440000
2000-05-10,5.400000,5.400000,5.400000,5.400000,1.531432,26841600000
2000-05-11,5.312000,5.312000,5.312000,5.312000,1.506474,36037120000
2000-05-12,5.306000,5.306000,5.306000,5.306000,1.504773,26560000000
2000-05-15,5.400000,5.400000,5.400000,5.400000,1.531432,13186560000
2000-05-16,5.575000,5.575000,5.575000,5.575000,1.581061,27993600000
2000-05-17,5.513000,5.513000,5.513000,5.513000,1.563478,12966400000
2000-05-18,5.538000,5.538000,5.538000,5.538000,1.570568,23644160000
2000-05-19,5.413000,5.413000,5.413000,5.413000,1.535118,23654400000
2000-05-22,5.256000,5.256000,5.256000,5.256000,1.490593,20034560000
2000-05-23,5.325000,5.325000,5.325000,5.325000,1.510161,24501760000
2000-05-24,5.238000,5.238000,5.238000,5.238000,1.485489,38970880000
2000-05-25,5.313000,5.313000,5.313000,5.313000,1.506758,38474240000
2000-05-26,5.251000,5.251000,5.251000,5.251000,1.489175,26065920000
2000-05-29,5.300000,5.300000,5.300000,5.300000,1.503072,11112960000
2000-05-30,5.316000,5.316000,5.316000,5.316000,1.507609,23626240000
2000-05-31,5.238000,5.238000,5.238000,5.238000,1.485489,26045440000
2000-06-01,5.500000,5.500000,5.500000,5.500000,1.559791,27148800000
2000-06-02,5.813000,5.813000,5.813000,5.813000,1.648558,51576320000
2000-06-05,5.790000,5.790000,5.790000,5.790000,1.642035,22650880000
2000-06-06,5.790000,5.790000,5.790000,5.790000,1.642035,0
2000-06-07,6.244000,6.244000,6.244000,6.244000,1.770789,23697920000
2000-06-08,6.276000,6.276000,6.276000,6.276000,1.779864,28997120000
2000-06-09,6.275000,6.275000,6.275000,6.275000,1.779580,10813440000
2000-06-12,6.238000,6.238000,6.238000,6.238000,1.769087,6832640000
2000-06-13,6.232000,6.232000,6.232000,6.232000,1.767386,21562880000
2000-06-14,6.163000,6.163000,6.163000,6.163000,1.747817,27604480000
2000-06-15,6.168000,6.168000,6.168000,6.168000,1.749235,21391360000
2000-06-16,6.288000,6.288000,6.288000,6.288000,1.783267,36892160000
2000-06-19,6.325000,6.325000,6.325000,6.325000,1.793760,68078080000
2000-06-20,6.363000,6.363000,6.363000,6.363000,1.804536,17233920000
2000-06-21,6.438000,6.438000,6.438000,6.438000,1.825807,38213120000
2000-06-22,6.438000,6.438000,6.438000,6.438000,1.825807,0
2000-06-23,6.438750,6.438750,6.438750,6.438750,1.826019,28073600
2000-06-26,6.562500,6.562500,6.562500,6.562500,1.861115,23228800
2000-06-27,6.625000,6.625000,6.625000,6.625000,1.878840,28342400
2000-06-28,6.862500,6.862500,6.862500,6.862500,1.946194,25206400
2000-06-29,6.650000,6.650000,6.650000,6.650000,1.885930,15392000
2000-06-30,6.812500,6.812500,6.812500,6.812500,1.932014,15942400
2000-07-03,7.000000,7.000000,7.000000,7.000000,1.985189,22694400
2000-07-04,7.150000,7.150000,7.150000,7.150000,2.027728,21155200
2000-07-05,6.975000,6.975000,6.975000,6.975000,1.978099,40316800
2000-07-06,6.975000,6.975000,6.975000,6.975000,1.978099,29712000
2000-07-07,6.706250,6.706250,6.706250,6.706250,1.901882,48684800
2000-07-10,6.731250,6.731250,6.731250,6.731250,1.908972,26758400
2000-07-11,6.406250,6.406250,6.406250,6.406250,1.816803,55961600
2000-07-12,6.312500,6.312500,6.312500,6.312500,1.790215,48240000
2000-07-13,6.055000,6.055000,6.055000,6.055000,1.717188,28204800
2000-07-14,6.187500,6.187500,6.187500,6.187500,1.754766,27990400
2000-07-17,6.187500,6.187500,6.187500,6.187500,1.754766,78153600
2000-07-18,6.125000,6.125000,6.125000,6.125000,1.737041,37033600
2000-07-19,6.212500,6.212500,6.212500,6.212500,1.761855,30892800
2000-07-20,6.550000,6.550000,6.550000,6.550000,1.857570,37116800
2000-07-21,6.437500,6.437500,6.437500,6.437500,1.825665,53036800
2000-07-24,6.375000,6.375000,6.375000,6.375000,1.807940,26806400
2000-07-25,6.037500,6.037500,6.037500,6.037500,1.712226,59932800
2000-07-26,6.093750,6.093750,6.093750,6.093750,1.728179,39897600
